concept,FY 2025,FY 2024,FY 2023
total_assets,359241000000.0,364980000000.0,352583000000.0
property_plant_equipment,49834000000.0,45680000000.0,43715000000.0
cash_and_equivalents,35934000000.0,29943000000.0,29965000000.0
accounts_receivable,39777000000.0,33410000000.0,29508000000.0
inventory,5718000000.0,7286000000.0,6331000000.0
total_current_assets,147957000000.0,152987000000.0,143566000000.0
operating_lease_right_of_use_asset,11205000000.0,10234000000.0,10661000000.0
other_assets_noncurrent,83727000000.0,74834000000.0,64758000000.0
total_liabilities,285508000000.0,308030000000.0,290437000000.0
retained_earnings,-14264000000.0,-19154000000.0,-214000000.0
accumulated_other_comprehensive_income,-5571000000.0,-7172000000.0,-11452000000.0
shareholder_equity,73733000000.0,56950000000.0,62146000000.0
total_liabilities_and_equity,359241000000.0,364980000000.0,352583000000.0
total_current_liabilities,165631000000.0,176392000000.0,145308000000.0
operating_lease_liability_current,1579000000.0,1488000000.0,1410000000.0
accounts_payable,69860000000.0,68960000000.0,62611000000.0
operating_lease_liability_noncurrent,10911000000.0,10046000000.0,10408000000.0
other_liabilities_noncurrent,41549000000.0,45888000000.0,49848000000.0
long_term_debt,78328000000.0,85750000000.0,95281000000.0
